ID,angle,Lng,Lat
1,11.081181163824631,114.1625276,22.32038154
2,283.448615059749102,114.1621603,22.32287637
3,178.754559826697431,114.1619681,22.32288093
4,358.900058863900824,114.161005,22.3228642
5,358.917758729603463,114.1609842,22.32388063
6,280.290845687884826,114.1627223,22.32130663
7,309.870661412771540,114.1638318,22.32160981
8,10.763640433508415,114.1635437,22.32020102
9,10.763640433508415,114.1636796,22.32086641
10,280.297958301169899,114.1637347,22.32113626
11,309.673379351698600,114.1636219,22.32177291
12,11.238999944614294,114.1632907,22.3212113
13,11.238999944614294,114.1634325,22.32187561
14,11.222989021518387,114.163234,22.32094548
15,11.214226917530327,114.1630335,22.32000433
16,11.222989021518387,114.1630924,22.32028113
17,11.081181163824631,114.1626675,22.32104622
18,269.176690278335286,114.1612482,22.32253048
19,358.939088309613112,114.1613373,22.32143181
20,268.919847776418464,114.1610802,22.32286553
21,269.176690278335286,114.1619761,22.32254028
22,358.900056176795033,114.161012,22.3225273
23,268.919847776418464,114.1618081,22.32287837
24,269.219924124027614,114.161399,22.32320858
25,179.387282528534740,114.1606653,22.32319903
26,269.186264974673975,114.160998,22.32320346
27,269.769036695696116,114.1612831,22.32089849
28,269.769036695696116,114.1605551,22.32089569
29,269.572958619389965,114.1606094,22.32142669
30,269.769036695696116,114.162011,22.32090129
31,359.755929996985799,114.160363,22.32092593
32,169.847016747476403,114.1619388,22.32490183
33,75.284627611047497,114.1616212,22.32501505
34,89.946589647476102,114.1618436,22.32030853
35,179.333851912935557,114.1619406,22.32030863
36,219.882685130596627,114.1620241,22.32046665
37,178.932816996965130,114.1619477,22.32152099
38,178.372716677488739,114.1619647,22.32084388
39,178.818051150731293,114.1619194,22.32287532
40,178.932816996965130,114.1619341,22.32219816
41,176.382763303644168,114.1618814,22.32422941
42,178.738942859682197,114.1619009,22.32355237
43,141.582964048559774,114.1613578,22.32543039
44,153.434948820745774,114.1617995,22.32489339
45,269.279971273583612,114.1619868,22.32195771
46,270.226248060666478,114.1619948,22.32142945
47,309.847403925083256,114.1623299,22.33155744
48,309.847403925083256,114.1617709,22.33199136
49,309.750197582807857,114.1630369,22.33176991
